"","Variable","Description"
"1","year","Season year"
"2","team","Team name"
"3","wins","Number of games won"
"4","losses","Number of games lost"
"5","win_loss_perc","Win/Loss Percentage"
"6","points_scored","Total points scored by the team"
"7","points_allowed","Total points allowed by the team"
"8","points_diff","Points differential"
"9","margin_of_victory","Average margin of victory"
"10","games_played","Number of games played"
"11","total_yards","Offensive yards gained"
"12","plays_offense","Offensive plays ran"
"13","yds_per_play_offense","Yards per play offense"
"14","turnovers","Team turnovers lost"
"15","fumbles","Team fumbles lost"
"16","first_down","First downs gained"
"17","pass_completion","Passes completed"
"18","pass_att","Pass attempts"
"19","pass_yds","Passing yards"
"20","pass_td","Passing touchdowns"
"21","pass_int","Interceptions thrown"
"22","pass_net_yds_per_att","Net yards gained per pass attempt"
"23","pass_first_down","Passing first downs gained"
"24","rush_att","Rushing attempts"
"25","rush_yds","Rushing yards"
"26","rush_td","Rushing touchdowns"
"27","rush_yds_per_att","Rushing yards per attempt"
"28","rush_fd","Rushing first downs"
"29","penalties","Penalties committed"
"30","penalties_yds","Penalty yards committed"
"31","pen_fd","First downs by penalty"
"32","score_pct","Percentage of drives ending in score"
"33","turnover_pct","Percentage of drives ending in turnover"
"34","expected_points_offense","Expected points contributed by offense"
"35","conference","NFL conference"
"36","division","NFL division"
"37","playoff","Playoff team"
"38","superbowl","Superbowl winner"
